Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-6188.893	-6392.373	203.4796	1.088385	0.4919985	4.232165
6	-6188.063	-6390.885	202.8219	0.9650627	0.5037891	4.661179
12	-6185.57	-6386.649	201.0793	0.8968219	0.4604866	5.704308
18	-6184.169	-6385.891	201.7226	0.9455857	0.6303876	5.177065
24	-6176.88	-6378.814	201.9333	0.9520085	0.4886649	5.177065
30	-6174.753	-6377.629	202.8761	0.9314639	0.5106455	4.64337
36	-6178.755	-6381.504	202.7489	0.9357479	0.6259546	4.614406
42	-6175.559	-6379.55	203.9915	1.116569	0.5478978	3.8728
48	-6183.123	-6387.644	204.5209	1.249165	0.4392002	3.595539
54	-6185.482	-6390.031	204.5495	1.220553	0.4392002	3.595539
60	-6180.776	-6384.885	204.1084	1.220553	0.4813417	3.807851
66	-6185.577	-6389.802	204.2244	1.223938	0.6141931	3.619515
72	-6188.061	-6393.05	204.9894	1.222839	0.5016654	3.273645
78	-6186.377	-6390.159	203.7818	1.18295	0.5016654	3.997193
84	-6182.526	-6386.414	203.8874	1.115778	0.4613922	4.014341
90	-6178.462	-6381.709	203.2463	1.115778	0.4630351	4.376646
96	-6174.689	-6378.061	203.3718	1.143508	0.3807663	4.376646
102	-6180.01	-6383.752	203.7417	1.039079	0.6197342	3.999195
108	-6179.203	-6381.797	202.5937	1.022113	0.5761382	4.6935
114	-6181.508	-6383.796	202.2885	0.969611	0.5566519	4.909653
120	-6177.829	-6380.935	203.1061	0.9974769	0.5566519	4.436213
126	-6175.197	-6376.391	201.1942	0.9756764	0.455737	5.602618
132	-6177.45	-6380.068	202.6188	0.9915451	0.4153692	4.846639
138	-6188.389	-6389.915	201.526	0.9381361	0.4696042	5.427534
144	-6180.972	-6382.787	201.8149	0.9032533	0.4696042	5.287449
150	-6195.641	-6397.204	201.5635	0.84731	0.5323942	5.39973
156	-6194.083	-6395.75	201.6666	0.8387907	0.4739179	5.400685
162	-6190.463	-6391.694	201.2306	0.9261564	0.4732531	5.593079
168	-6193.78	-6395.533	201.7527	0.8878299	0.566628	5.243748
174	-6189.239	-6390.387	201.1485	0.8243565	0.5634263	5.614118
180	-6186.623	-6386.301	199.6786	0.8251203	0.4313775	6.534529
186	-6175.925	-6377.182	201.2575	0.8942454	0.4187028	5.649436
192	-6167.415	-6369.209	201.7945	0.8602889	0.5396359	5.258834
198	-6166.226	-6367.225	200.9986	0.8749119	0.4638546	5.75732
204	-6175.971	-6377.94	201.9693	0.9619287	0.4412191	5.197364
210	-6177.695	-6380.308	202.6127	1.035941	0.4412191	4.798722
216	-6182.516	-6384.434	201.9181	1.052919	0.5004384	5.118736
222	-6182.805	-6384.636	201.8307	0.9696319	0.6114506	5.118736
228	-6182.257	-6383.483	201.2258	0.9310572	0.5391739	5.533628
234	-6183.883	-6386.433	202.5506	0.9310572	0.6461007	4.712348
240	-6183.299	-6385.7	202.4003	0.9708231	0.6325805	4.78462
246	-6178.448	-6381.614	203.1652	0.9708231	0.5078668	4.46145
252	-6195.323	-6397.854	202.5309	0.9459627	0.5837518	4.764883
258	-6186.444	-6388.266	201.8217	0.9408937	0.5107569	5.224724
264	-6175.969	-6377.75	201.7803	0.9823284	0.5107569	5.224724
270	-6178.258	-6380.843	202.5846	1.026093	0.4737676	4.787971
276	-6179.935	-6382.435	202.5005	1.026093	0.4855175	4.82376
282	-6183.316	-6385.914	202.5987	1.086207	0.5697573	4.660182
288	-6183.521	-6386.578	203.057	0.963198	0.5276208	4.508645
294	-6182.815	-6386.049	203.2331	1.014234	0.4893949	4.415947
300	-6178.381	-6381.363	202.9816	1.037691	0.4893949	4.544303
306	-6188.291	-6391.725	203.4339	1.075738	0.5302186	4.229959
312	-6186.882	-6389.372	202.4893	1.016862	0.5374444	4.787987
318	-6181.741	-6384.716	202.9749	1.00829	0.529469	4.527832
324	-6182.766	-6386.361	203.5952	1.120754	0.529469	4.113464
330	-6181.422	-6384.222	202.8001	1.109417	0.3457173	4.757263
336	-6182.496	-6385.214	202.7176	1.0966	0.4708618	4.676992
342	-6194.866	-6397.907	203.0418	1.05147	0.5157568	4.478255
348	-6194.047	-6397.076	203.0292	1.0123	0.5157568	4.507367
354	-6190.465	-6392.959	202.4941	0.9762779	0.5273852	4.816791
360	-6188.805	-6390.614	201.8092	0.9853654	0.509101	5.208536
366	-6185.654	-6387.791	202.1368	1.00008	0.4772895	5.048326
372	-6183.248	-6384.842	201.5934	0.9617249	0.4232754	5.423079
378	-6180.759	-6382.361	201.6019	0.9327814	0.5326457	5.33123
384	-6173.551	-6375.24	201.6889	0.935813	0.477806	5.33123
390	-6187.819	-6390.268	202.4492	0.9842927	0.4145996	4.94596
396	-6189.631	-6392.962	203.3313	1.084135	0.5283549	4.285044
402	-6188.973	-6392.526	203.5534	1.089836	0.3722	4.31408
408	-6195.96	-6398.862	202.9023	1.157791	0.3071977	4.720633
414	-6187.093	-6389.974	202.881	1.042223	0.5828542	4.51546
420	-6175.053	-6377.767	202.7138	1.005727	0.5878523	4.625643
426	-6170.596	-6373.235	202.6386	0.9633302	0.4787689	4.788099
432	-6179.902	-6382.244	202.3413	1.082068	0.4037516	4.963033
438	-6178.1	-6379.725	201.6254	0.9250558	0.4732428	5.376492
444	-6178.415	-6380.943	202.528	0.9972023	0.4732428	4.836181
450	-6176.5	-6379.078	202.5784	1.016165	0.591207	4.692904
456	-6178.613	-6381.866	203.2532	0.9709211	0.4162208	4.502083
462	-6172.935	-6375.274	202.3392	1.093052	0.4780373	4.883386
468	-6179.872	-6383.443	203.5711	1.107544	0.5099532	4.152508
474	-6173.902	-6377.043	203.1417	1.105904	0.4674727	4.436886
480	-6178.704	-6381.307	202.6026	1.039277	0.4326339	4.811202
486	-6175.091	-6377.652	202.5609	1.057073	0.4385029	4.818598
492	-6186.809	-6389.184	202.3747	1.060623	0.5383784	4.826676
498	-6191.407	-6393.946	202.5388	1.041865	0.4056924	4.873373
504	-6180.3	-6382.517	202.2166	1.132307	0.4084404	4.99941
510	-6189.427	-6391.435	202.0081	0.9089157	0.5135356	5.136805
516	-6190.513	-6391.139	200.6262	0.881983	0.4928137	5.930042
522	-6185.814	-6389.035	203.2213	1.172014	0.3595477	4.469675
528	-6179.135	-6382.75	203.6146	1.153508	0.4561438	4.153537
534	-6176.675	-6378.255	201.5805	0.9336004	0.5885303	5.295514
540	-6176.957	-6379.024	202.0675	0.9298259	0.6447918	4.983386
546	-6180.976	-6383.639	202.6632	0.9826217	0.5065747	4.737596
552	-6184.938	-6386.898	201.9606	1.046583	0.5057393	5.093875
558	-6180.038	-6382.75	202.7123	1.004231	0.5015888	4.702645
564	-6185.364	-6386.903	201.5384	0.9331437	0.5038159	5.391689
570	-6191.048	-6392.638	201.5901	0.9099447	0.5170264	5.364074
576	-6184.961	-6386.564	201.6026	0.9251283	0.473353	5.388926
582	-6186.759	-6388.26	201.501	0.9147732	0.4764367	5.447674
588	-6192.018	-6395.256	203.2379	0.9619638	0.5631122	4.376336
594	-6188.043	-6390.507	202.4635	0.9619638	0.5927838	4.786147
600	-6191.895	-6394.566	202.6712	0.9420159	0.5128428	4.75014
606	-6194.98	-6396.714	201.7339	0.8817067	0.5125842	5.304314
612	-6189.168	-6392.114	202.9456	0.9582519	0.5123218	4.587831
618	-6195.693	-6398.781	203.0877	1.004682	0.5583358	4.441022
624	-6182.054	-6384.621	202.567	0.9681891	0.4661237	4.837487
630	-6186.411	-6388.945	202.5341	1.00374	0.4725944	4.829736
636	-6187.499	-6389.992	202.4931	1.000433	0.4970687	4.831384
